jerseyNumber,person_fullName,person_id,person_link,position_abbreviation,position_code,position_name,position_type,team,teamFullName,year
11,Jordan Schroeder,8475147,/api/v1/people/8475147,C,C,Center,Forward,VAN,Vancouver Canucks,20122013
18,Frank Corrado,8476302,/api/v1/people/8476302,D,D,Defenseman,Defenseman,VAN,Vancouver Canucks,20122013
39,Nicklas Jensen,8476482,/api/v1/people/8476482,RW,R,Right Wing,Forward,VAN,Vancouver Canucks,20122013
45,Sami Vatanen,8475222,/api/v1/people/8475222,D,D,Defenseman,Defenseman,ANA,Anaheim Ducks,20122013
26,Emerson Etem,8475770,/api/v1/people/8475770,RW,R,Right Wing,Forward,ANA,Anaheim Ducks,20122013
67,Rickard Rakell,8476483,/api/v1/people/8476483,LW,L,Left Wing,Forward,ANA,Anaheim Ducks,20122013
35,Viktor Fasth,8476839,/api/v1/people/8476839,G,G,Goalie,Goalie,ANA,Anaheim Ducks,20122013
26,Antoine Roussel,8474849,/api/v1/people/8474849,LW,L,Left Wing,Forward,DAL,Dallas Stars,20122013
39,Alex Chiasson,8475163,/api/v1/people/8475163,RW,R,Right Wing,Forward,DAL,Dallas Stars,20122013
2,Jamie Oleksiak,8476467,/api/v1/people/8476467,D,D,Defenseman,Defenseman,DAL,Dallas Stars,20122013
41,Cristopher Nilstorp,8476846,/api/v1/people/8476846,G,G,Goalie,Goalie,DAL,Dallas Stars,20122013
73,Tyler Toffoli,8475726,/api/v1/people/8475726,RW,R,Right Wing,Forward,LAK,Los Angeles Kings,20122013
70,Tanner Pearson,8476871,/api/v1/people/8476871,LW,L,Left Wing,Forward,LAK,Los Angeles Kings,20122013
,Chris Brown,8475161,/api/v1/people/8475161,RW,R,Right Wing,Forward,PHX,Phoenix Coyotes,20122013
54,Nick Petrecki,8474032,/api/v1/people/8474032,D,D,Defenseman,Defenseman,SJS,San Jose Sharks,20122013
52,Matt Irwin,8475625,/api/v1/people/8475625,D,D,Defenseman,Defenseman,SJS,San Jose Sharks,20122013
5,Matt Tennyson,8476807,/api/v1/people/8476807,D,D,Defenseman,Defenseman,SJS,San Jose Sharks,20122013
53,Sean Collins,8474744,/api/v1/people/8474744,C,C,Center,Forward,CBJ,Columbus Blue Jackets,20122013
81,Jonathan Marchessault,8476539,/api/v1/people/8476539,C,C,Center,Forward,CBJ,Columbus Blue Jackets,20122013
22,Johan Larsson,8475728,/api/v1/people/8475728,C,C,Center,Forward,MIN,Minnesota Wild,20122013
13,Charlie Coyle,8475745,/api/v1/people/8475745,C,C,Center,Forward,MIN,Minnesota Wild,20122013
64,Mikael Granlund,8475798,/api/v1/people/8475798,C,C,Center,Forward,MIN,Minnesota Wild,20122013
25,Jonas Brodin,8476463,/api/v1/people/8476463,D,D,Defenseman,Defenseman,MIN,Minnesota Wild,20122013
35,Darcy Kuemper,8475311,/api/v1/people/8475311,G,G,Goalie,Goalie,MIN,Minnesota Wild,20122013
16,Anthony Peluso,8474061,/api/v1/people/8474061,RW,R,Right Wing,Forward,WPG,Winnipeg Jets,20122013
38,Zach Redmond,8474743,/api/v1/people/8474743,D,D,Defenseman,Defenseman,WPG,Winnipeg Jets,20122013
15,Jon Merrill,8475750,/api/v1/people/8475750,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,20132014
36,Mike Sislo,8476209,/api/v1/people/8476209,RW,R,Right Wing,Forward,NJD,New Jersey Devils,20132014
10,Joe Whitney,8476227,/api/v1/people/8476227,RW,R,Right Wing,Forward,NJD,New Jersey Devils,20132014
24,Reid Boucher,8476423,/api/v1/people/8476423,C,C,Center,Forward,NJD,New Jersey Devils,20132014
56,Brett Gallant,8474236,/api/v1/people/8474236,LW,L,Left Wing,Forward,NYI,New York Islanders,20132014
49,Justin Johnson,8476086,/api/v1/people/8476086,RW,R,Right Wing,Forward,NYI,New York Islanders,20132014
56,John Persson,8476367,/api/v1/people/8476367,LW,L,Left Wing,Forward,NYI,New York Islanders,20132014
24,Scott Mayfield,8476429,/api/v1/people/8476429,D,D,Defenseman,Defenseman,NYI,New York Islanders,20132014
28,Johan Sundstrom,8476445,/api/v1/people/8476445,C,C,Center,Forward,NYI,New York Islanders,20132014
16,Ryan Strome,8476458,/api/v1/people/8476458,C,C,Center,Forward,NYI,New York Islanders,20132014
49,Mike Halmo,8476765,/api/v1/people/8476765,LW,L,Left Wing,Forward,NYI,New York Islanders,20132014
24,Kevin Czuczman,8477814,/api/v1/people/8477814,D,D,Defenseman,Defenseman,NYI,New York Islanders,20132014
20,Dylan McIlrath,8475795,/api/v1/people/8475795,D,D,Defenseman,Defenseman,NYR,New York Rangers,20132014
17,Jesper Fast,8475855,/api/v1/people/8475855,RW,R,Right Wing,Forward,NYR,New York Rangers,20132014
,Conor Allen,8477214,/api/v1/people/8477214,D,D,Defenseman,Defenseman,NYR,New York Rangers,20132014
33,Cam Talbot,8475660,/api/v1/people/8475660,G,G,Goalie,Goalie,NYR,New York Rangers,20132014
12,Michael Raffl,8477290,/api/v1/people/8477290,LW,L,Left Wing,Forward,PHI,Philadelphia Flyers,20132014
33,Calvin Heeter,8476763,/api/v1/people/8476763,G,G,Goalie,Goalie,PHI,Philadelphia Flyers,20132014
23,Zach Sill,8475119,/api/v1/people/8475119,C,C,Center,Forward,PIT,Pittsburgh Penguins,20132014
26,Philip Samuelsson,8475194,/api/v1/people/8475194,D,D,Defenseman,Defenseman,PIT,Pittsburgh Penguins,20132014
8,Brian Dumoulin,8475208,/api/v1/people/8475208,D,D,Defenseman,Defenseman,PIT,Pittsburgh Penguins,20132014
,Brian Gibbons,8476207,/api/v1/people/8476207,C,C,Center,Forward,PIT,Pittsburgh Penguins,20132014
45,Adam Payerl,8476522,/api/v1/people/8476522,C,C,Center,Forward,PIT,Pittsburgh Penguins,20132014
,Olli Maatta,8476874,/api/v1/people/8476874,D,D,Defenseman,Defenseman,PIT,Pittsburgh Penguins,20132014
,Jayson Megna,8477126,/api/v1/people/8477126,C,C,Center,Forward,PIT,Pittsburgh Penguins,20132014
35,Jeff Zatkoff,8473553,/api/v1/people/8473553,G,G,Goalie,Goalie,PIT,Pittsburgh Penguins,20132014
55,David Warsofsky,8474660,/api/v1/people/8474660,D,D,Defenseman,Defenseman,BOS,Boston Bruins,20132014
22,Craig Cunningham,8475414,/api/v1/people/8475414,LW,L,Left Wing,Forward,BOS,Boston Bruins,20132014
46,Justin Florek,8475845,/api/v1/people/8475845,LW,L,Left Wing,Forward,BOS,Boston Bruins,20132014
